,avg,standard,max_value,min_value,peak_x,peak_y
0,956.9693333333333,484.4368276320527,2917,402,26.52,968.875
1,1226.3675555555556,504.34047333328647,3073,519,21.560000000000002,1775.0
2,1382.5311111111112,564.2964172878515,3186,538,21.4,2182.875
3,772.2026666666667,502.15908335063835,2392,202,16.919999999999998,2321.875
4,763.0970666666667,497.5684526529146,2079,204,18.52,1774.0
5,648.0528,393.2973525983145,1699,176,16.919999999999998,1635.625
6,1909.0191111111112,681.0375072929577,3246,795,19.959999999999997,3138.5
7,2136.911111111111,752.8417065012243,3741,917,19.480000000000004,3645.625
8,2068.626222222222,760.6042175442232,3619,871,17.08,3483.25
9,2063.2786666666666,834.6873595049739,4142,836,21.560000000000002,4044.125
10,933.0746666666666,306.2891230215016,1580,435,23.959999999999997,1346.0
11,768.5285333333334,489.3760379240563,2314,217,16.759999999999998,2267.375
12,688.8357333333333,430.79373008424443,1708,183,21.080000000000002,1602.125
13,1903.7644444444445,641.8915976250393,3256,857,19.8,3123.375
